song,artist,class,year,danceability,duration,energy,key,loudness,song_hotttnesss,tempo,time_signature
A Little Tear,Willie Bobo,10,0,0.0,416.44363,0.0,1,-17.518,0.255070001544072,147.055,1
A Lo Clasico,Daddy Yankee,10,2007,0.0,235.15383,0.0,4,-4.13,0.48711219486346274,91.026,4
A Machine and a Memory Keeps You Alive,Dntel,10,0,0.0,252.86485,0.0,5,-15.644,0.49271363957256076,93.32,5
A Man Can Only Stand Just So Much Pain (Bonus Track),Tony Joe White,10,1970,0.0,152.842,0.0,7,-16.834,0.3690536034746921,122.236,4
A Man Holdin' On (To A Woman Lettin' Go),Ty Herndon,8,1998,0.0,217.15546,0.0,2,-8.809,0.6961832265744288,128.087,4
A Martyr For My Love For You,The White Stripes,10,2007,0.0,259.5522,0.0,2,-8.686,0.8450883853168706,85.159,4
A Means To An End [Live at Birmingham University] [2007 Re-mastered],Joy Division,10,0,0.0,241.08363,0.0,5,-11.524,0.46630483075728635,133.331,4
A Movie Of A Placid Lake On A Moonless Night In September - Reprise,Will Ackerman,10,1992,0.0,194.19383,0.0,4,-28.95,0.3347065490692206,91.6,1
A Movie Of A Placid Lake On A Moonless Night in September,Will Ackerman,10,1992,0.0,384.60036,0.0,1,-18.891,0.3347065490692206,92.331,4
A Nadie Le Interesa Si Quedás Atrás (Total Que...),Vox Dei,10,1974,0.0,197.04118,0.0,9,-14.03,0.21508031850922793,154.475,1
A New Heart,Michael Whalen,10,2004,0.0,317.70077,0.0,10,-15.968,0.0,110.1,4
A New Hope,Blink-182,10,1997,0.0,225.12281,0.0,7,-7.315,0.6741647464524099,200.716,1
A Part Of Me,40 Grit,10,2003,0.0,250.67057,0.0,11,-8.951,0.4051157216913865,148.234,4
A Piece Of My Heart,Gang Of Four,10,1983,0.0,196.49261,0.0,9,-11.796,0.38293509007501925,143.606,4
A Puro Dolor,Roberto Perera,10,0,0.0,224.93995,0.0,7,-10.925,0.0,129.988,4
A Quoi Ca Sert,Julie Zenatti,10,0,0.0,201.66485,0.0,9,-5.559,0.36727341580934564,134.882,4
A Rush Of Blood To The Head (Live In Sydney),Coldplay,10,2003,0.0,410.8273,0.0,5,-8.229,0.5649341725832212,138.038,4
A Song For You (Feat. DMX and Chris Notez),Bizzy Bone,10,0,0.0,238.21016,0.0,8,-5.066,0.450992311636255,84.971,4
A Song For You (Live),Simply Red,10,0,0.0,253.43955,0.0,7,-11.883,0.26586104921065007,105.468,3
A Sound That Only You Can Hear,K's Choice,10,1995,0.0,252.83873,0.0,2,-6.575,0.6675061388345216,87.495,4
A Stepmother's Curse,Anne Dudley,10,2000,0.0,184.39791,0.0,5,-18.995,0.0,137.699,5
A Talk With Dad,Speech,10,2003,0.0,160.93995,0.0,1,-22.033,0.0,73.11,5
A True,Sugar Minott,10,1984,0.0,206.78485,0.0,1,-7.651,0.30416950343527516,152.91,4
A True Friend,Dobby Dobson,10,0,0.0,193.56689,0.0,9,-7.303,0.24390466835385802,163.957,4
A Veces Vuelvo,Catupecu Machu,10,2004,0.0,266.1873,0.0,1,-4.768,0.5722831896152288,126.992,4
A Void Of Lifeless Dreams,Limbonic Art,10,0,0.0,293.04118,0.0,7,-3.961,0.5339103725510771,100.209,4
A White Demon Love Song (Soundtrack Album Version),The Killers,10,0,0.0,213.96853,0.0,11,-9.041,0.5237963474289389,86.958,4
A Whiter Shade Of Pale (Live @ Fillmore West),King Curtis,10,0,0.0,326.00771,0.0,0,-17.492,0.6624931608196217,100.415,4
A World Of My Own,Knack,10,0,0.0,255.21587,0.0,9,-6.778,0.2623089972119452,138.378,4
A la Hora,Ocho y Media,10,0,0.0,278.17751,0.0,9,-3.638,0.21204540548371908,62.78,5
A ti,Alturas,10,0,0.0,279.84934,0.0,4,-12.891,0.0,136.874,4
A volta da mulher morena,Vinícius de Moraes,10,0,0.0,157.30893,0.0,5,-16.216,0.0,103.682,3
A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,10,0,0.0,413.36118,0.0,7,-8.804,0.0,191.196,4
ABC (The Alphabet Song),Dora The Explorer,10,0,0.0,32.1824,0.0,7,-8.431,0.5187598979970994,107.201,4
ABCD Medley,Laurie Berkner,10,0,0.0,182.22975,0.0,7,-11.498,0.46048484498641545,128.43,4
Abandonada / Blancas azucenas,Sierra Maestra,10,1992,0.0,295.99302,0.0,2,-13.822,0.0,141.121,1
Abbeville Fair,Seatrain,10,1973,0.0,294.47791,0.0,2,-6.112,0.26187351398897535,107.836,3
Abilene,The Highwaymen,10,0,0.0,277.83791,0.0,7,-20.803,0.25140787815686916,154.188,3
Ability To Create A War,A Skylit Drive,10,2007,0.0,88.86812,0.0,0,-5.864,0.6840887753980979,139.238,4
About Last Night (LP Version),Vitamin C,10,1999,0.0,241.03138,0.0,2,-6.297,0.48456252996792964,96.989,4
Above The Rainbow,Flora Purim,10,1994,0.0,208.03873,0.0,7,-16.444,0.26586104921065007,173.649,4
Absolute,The Fray,6,2009,0.0,227.082,0.0,3,-5.432,0.7955055406553385,140.577,4
Absolute Horizon,Byzantine,10,2008,0.0,300.01587,0.0,0,-5.663,0.5187598979970994,198.016,4
Abstracted,Scar Symmetry,10,2006,0.0,204.95628,0.0,3,-3.869,0.7079375399058409,97.687,4
Abstracto,Catupecu Machu,10,0,0.0,322.35057,0.0,3,-9.285,0.3562019159234967,130.008,4
Abu-Pia,Papa Wemba,10,0,0.0,406.62159,0.0,5,-6.612,0.0,136.442,4
Accept Crime (Album Version),Alexisonfire,10,0,0.0,193.98485,0.0,1,-3.357,0.6842642173323653,185.063,4
Ace Insurance Man,Bobbie Gentry,10,1968,0.0,214.96118,0.0,9,-10.736,0.425900191276655,170.897,4
Across The Universe,6CycleMind,10,0,0.0,267.38893,0.0,1,-7.604,0.21204540548371908,74.068,4
Act Won (Things Fall Apart),The Roots,10,0,0.0,54.12526,0.0,2,-16.453,0.6372360944189687,85.875,1
Active,Dark Party,10,2008,0.0,261.58975,0.0,1,-3.542,0.7314733570496581,175.948,4
Adagio (Albinoni),Mariano Yanani,10,0,0.0,216.68526,0.0,7,-16.6,0.0,89.933,3
Addison Faceplant,ZTrip,10,0,0.0,302.602,0.0,10,-9.817,0.0,119.948,4
Adios_ Mi Corazon,Herb Alpert And The Tijuana Brass,10,1964,0.0,163.94404,0.0,5,-14.962,0.46642291217858844,97.52,1
Adnans,Orbital,10,1999,0.0,521.56036,0.0,7,-10.893,0.7542740111484415,101.99,4
Adrift,Jack Johnson,10,2008,0.0,236.19873,0.0,0,-15.967,0.7378503319728218,241.818,4
Adventure No. 8,Jim Chappell,10,0,0.0,208.87465,0.0,9,-18.254,0.5729201479465231,109.196,4
Advice,Ann Nesby / Jamecia Bennett,10,0,0.0,340.79302,0.0,6,-2.871,0.0,110.058,1
Affliction,AFI,10,2006,0.0,328.72444,0.0,4,-5.711,0.8369301219556046,113.471,5
Afonsina y el mar,Triana Pura,10,0,0.0,252.9171,0.0,2,-7.742,0.0,221.796,3
Africa,Dusminguet,10,1998,0.0,173.97506,0.0,7,-9.688,0.349166902124596,106.073,4
Africans,Mighty Diamonds,10,0,0.0,219.58485,0.0,0,-15.064,0.0,90.274,4
After All The Love Is Gone,Alias,10,0,0.0,256.67873,0.0,0,-10.223,0.38293509007501925,120.093,4
After Hours,Phantom Planet,10,2004,0.0,164.12689,0.0,4,-5.482,0.5531667535007925,113.874,4
After I Made Love To You,BMX Bandits,10,2007,0.0,208.40444,0.0,1,-10.223,0.4507622416414992,127.434,4
After Lovin You (Love Life Album Version),Charlie Peacock,10,1991,0.0,291.21261,0.0,1,-8.158,0.0,100.862,4
After One Quarter Of A Revolution,Every Time I Die,10,2009,0.0,124.13342,0.0,7,-3.988,0.6569172267179438,114.638,1
After The Dark,Jimmy McGriff,10,0,0.0,334.18404,0.0,2,-17.522,0.0,140.085,4
After The Fire,Klaus Badelt,10,2007,0.0,116.1922,0.0,7,-27.369,0.30416950343527516,56.306,1
After The Laughter,Marcie Blane,10,0,0.0,139.83302,0.0,0,-9.737,0.0,102.881,7
Again,Radney Foster,10,0,0.0,208.14322,0.0,0,-5.384,0.42651242880748796,140.595,4
Again (Instrumental),Janet Jackson,10,1993,0.0,232.202,0.0,0,-17.938,0.2349954061200703,130.229,4
Again And Again,The Unborn Chikken Voices,10,0,0.0,217.91302,0.0,2,-5.746,0.0,85.039,4
Aguas Claras De Olimpos,Pescado Rabioso,10,1973,0.0,526.21016,0.0,7,-13.209,0.3231121208952123,80.754,1
Ahead By A Century,The Tragically Hip,10,1996,0.0,225.43628,0.0,7,-7.372,0.7661746437013391,84.373,5
Aho,Meiway,10,0,0.0,288.62649,0.0,7,-5.297,0.0,92.979,4
Ain't Got Nothin' But The Blues (Album Version),Robben Ford,10,1988,0.0,278.96118,0.0,5,-13.908,0.5187598979970994,91.247,3
Ain't No Game,Masta Ace Incorporated,10,1995,0.0,295.1571,0.0,11,-7.687,0.5675917250423912,88.12,5
Ain't No Tellin',Sonny Terry & Brownie McGhee,10,0,0.0,173.47873,0.0,3,-17.55,0.0,103.302,4
Ain't She Sweet,The Beatles / Tony Sheridan,10,1964,0.0,130.95138,0.0,1,-7.455,0.7455641702776447,159.437,1
Airto's Jazz Dance,Flora Purim,10,2001,0.0,246.67383,0.0,8,-14.181,0.3347065490692206,137.823,5
Al Final,KALIMBA,10,2009,0.0,297.63873,0.0,10,-5.985,0.4507622416414992,65.246,4
Al Munda Dios Amo (LP Version),Jaci Velasquez,10,0,0.0,306.65098,0.0,2,-9.585,0.25918346566496975,89.456,4
Al Svartr (The Oath),Emperor,10,0,0.0,258.35057,0.0,4,-11.164,0.6292127100645375,116.171,7
Al maestro,El Barrio,10,0,0.0,306.31138,0.0,5,-9.341,0.46048484498641545,107.021,3
Al'amadalah Assa'bah (2004 Digital Remaster),Ragheb Alama,10,0,0.0,319.37261,0.0,7,-9.13,0.0,151.956,4
Albinoni's Adagio In G Minor (LP Version),The Doors,10,0,0.0,272.45669,0.0,0,-13.473,0.6083390068705503,97.035,3
Albo,Hevia,10,2007,0.0,280.2673,0.0,8,-4.936,0.3864772912554594,93.037,4
Alchemy Index Vol 1  Water 1 of 6,Thrice,10,0,0.0,224.28689,0.0,0,-11.607,0.8553966591538013,125.604,4
Alguna Vez,La Portuaria,10,0,0.0,148.00934,0.0,9,-13.607,0.0,112.071,4
Ali Baba,Jackie Edwards,10,2003,0.0,179.09506,0.0,10,-6.543,0.3725300393660796,157.177,4
Alimony,Shaggy,10,1994,0.0,232.30649,0.0,6,-7.751,0.0,89.998,4
Alive,Dala,10,2009,0.0,240.27383,0.0,9,-7.397,0.6104573749752431,121.967,4
All About Our Love,Sade,10,2000,0.0,160.62649,0.0,4,-8.211,0.6406882807726302,161.991,4
All Alone (Live),Gorillaz,10,2005,0.0,219.37587,0.0,7,-7.36,0.5161218560317505,148.0,4
All Burned Out,Savoy Brown,10,1989,0.0,171.62404,0.0,7,-11.212,0.37598430150044215,150.95,4
All Creatures Of Our God And King,Patty Griffin,10,2010,0.0,256.39138,0.0,9,-14.966,0.4909042005420652,56.184,1
All Day,Butthole Surfers,10,1987,0.0,512.1824,0.0,9,-3.237,0.5394108317014351,79.709,4
All Dressed Up,Aram Shelton,10,0,0.0,540.52526,0.0,4,-9.479,0.0,113.031,3
All For Nothing,Since The Flood,10,2007,0.0,117.08036,0.0,2,-2.191,0.5375039041917102,189.987,4
All For The Sake Of The Song,Roger Creager,10,2003,0.0,277.55057,0.0,0,-9.776,0.338886720010706,80.975,4
All I Ask For (Album Version),Ill Nino,10,2005,0.0,219.81995,0.0,8,-3.67,0.6386467228957761,91.011,4
All I Ever Really Wanted,Donnie McClurkin,10,0,0.0,198.5824,0.0,9,-6.129,0.4574471670851005,143.986,4
All In A Day (Live @ The Troubadour_ LosAngeles),The Paul Butterfield Blues Band,10,0,0.0,490.84036,0.0,5,-9.839,0.254463665642525,200.105,7
All Kind of People,Sugar Minott,10,0,0.0,211.06893,0.0,11,-11.706,0.0,121.284,1
All Mama Ever Wanted  (Album),Mark Lowry,10,0,0.0,553.27302,0.0,8,-15.37,0.0,122.166,3
All My Life (LP Version),Venice,10,1990,0.0,301.08689,0.0,0,-8.38,0.0,104.556,4
All My Senses,Mando Diao,10,2004,0.0,251.03628,0.0,6,-5.403,0.6459827035844169,119.346,4
All Of This,Blink-182,10,2003,0.0,280.00608,0.0,9,-5.342,0.7241339532038322,117.574,4
All Of You,Gerald Clayton,10,2009,0.0,329.37751,0.0,10,-16.849,0.3589765264395974,94.978,3
All Or Nothing,Chris Eaton,10,1995,0.0,289.07057,0.0,7,-12.958,0.26586104921065007,100.771,4
All Over Now,X,10,0,0.0,233.22077,0.0,9,-6.898,0.26586104921065007,141.846,4
All Shook Up,Smidi Beats,10,0,0.0,199.18322,0.0,6,-14.497,0.0,98.128,4
All That You Need,The Brooklyn Tabernacle Choir,10,1995,0.0,257.30567,0.0,7,-14.173,0.0,115.371,1
All That's Left,Thrice,10,2003,0.0,201.58649,0.0,7,-2.87,0.89678901557349,182.977,4
All The Answers,Jesus Jones,10,1989,0.0,227.73506,0.0,4,-5.844,0.3943948561005826,110.47,4
All The Difference In The World,Brent Lamb,10,0,0.0,250.38322,0.0,7,-10.753,0.0,110.0,4
All The Rage (Clean Album Version),Funeral For A Friend,10,2005,0.0,217.49506,0.0,3,-3.624,0.0,190.116,4
All The Things You Are,Eliane Elias,10,1995,0.0,201.22077,0.0,5,-28.25,0.21508031850922793,176.138,3
All The Way,Joey McIntyre,10,0,0.0,173.322,0.0,5,-19.928,0.5508908402040344,202.693,5
All Through The Night (Album),Bowen_ Robin Huw,10,0,0.0,244.29669,0.0,7,-13.014,0.0,92.656,1
All Time Low (Album Version),Grey Area,10,1997,0.0,189.33506,0.0,4,-5.729,0.3522322250053423,127.221,4
All or Nothin' Gal,Jessie Lee Miller,10,2005,0.0,116.92363,0.0,0,-7.391,0.0,188.979,4
Alla Fine Di Tutto Questo,Fabri Fibra,10,2009,0.0,267.36281,0.0,1,-4.41,0.34580223396532944,160.071,4
Alla Mot Alla,Kent,10,0,0.0,240.97914,0.0,3,-8.505,0.5194485814940588,143.908,4
Allein,UKW,10,0,0.0,266.762,0.0,0,-7.381,0.0,97.362,3
Allez_ Glissez!,Quadro Nuevo,10,2002,0.0,215.30077,0.0,7,-10.232,0.21508031850922793,188.626,1
Alma De Metal,Bobby Pulido,10,1999,0.0,216.31955,0.0,9,-8.88,0.2623089972119452,100.252,1
Alma de B-Boy,El Gran Silencio,10,0,0.0,208.66567,0.0,0,-7.705,0.5114243256864599,120.064,4
Almendra,Arturo Sandoval,10,1997,0.0,271.43791,0.0,5,-12.246,0.26695518627553855,139.944,1
Almost Genuine,9th Wonder featuring Defcon_ Phonte,10,0,0.0,289.54077,0.0,11,-7.719,0.52549711888017,137.534,3
Almost Us,Jim Chappell,10,1997,0.0,217.49506,0.0,7,-23.69,0.0,86.39,4
Alone Together,Charlie Haden & Chris Anderson,10,0,0.0,412.21179,0.0,2,-28.346,0.26586104921065007,115.007,4
Alone in Love,Craig Wedren,10,2005,0.0,155.27138,0.0,0,-14.98,0.37952332442218817,71.283,4
Along Comes Mary,Cal Tjader,10,0,0.0,199.75791,0.0,9,-16.603,0.4051157216913865,143.764,1
Alpha River,Eclier,10,0,0.0,322.19383,0.0,3,-5.815,0.36727341580934564,84.639,1
Alright Now,Paul Rodgers,10,0,0.0,269.81832,0.0,11,-8.525,0.3231612696226349,120.859,4
Altas Horas,Entre Ríos,10,2005,0.0,221.30893,0.0,7,-9.095,0.5414929887003981,47.96,4
Alte Pizza,Der Plan,10,1988,0.0,153.59955,0.0,11,-14.342,0.3603705827121406,119.317,4
Alter Mann,Der Plan,10,0,0.0,136.82893,0.0,9,-15.478,0.0,54.468,4
Always,RyanDan,10,2007,0.0,235.12771,0.0,0,-8.567,0.46048484498641545,111.518,4
Always And Never (Album Version),Silverstein,10,2005,0.0,229.642,0.0,2,-1.998,0.6586239272874229,108.499,4
Am I Losing You,The Cate Brothers,10,0,0.0,330.63138,0.0,0,-8.875,0.2690718402592736,167.871,4
Am I That Easy To Forget,Skeeter Davis,10,1995,0.0,125.77914,0.0,11,-12.945,0.4733465411087876,120.689,3
Amaze,Jimmy Riley,10,0,0.0,216.39791,0.0,1,-6.895,0.0,159.943,4
Amazing (LP Version),Point Of Grace,10,1998,0.0,294.08608,0.0,6,-6.477,0.3277366831778408,125.95,4
Amazing Grace,Jo-El Sonnier,10,0,0.0,192.67873,0.0,0,-10.73,0.0,123.472,3
Amazing Grace,Bill Murk,10,0,0.0,219.14077,0.0,7,-9.237,0.0,126.664,4
Amazing Grace (Album Version),Dropkick Murphys,10,1999,0.0,158.64118,0.0,3,-5.232,0.3659799303062769,183.684,4
Amber Changing,Rise Against,10,2003,0.0,218.8273,0.0,4,-3.803,0.696469436584313,186.254,4
Amdokwe,Vusi Mahlasela,10,0,0.0,250.48771,0.0,2,-10.29,0.0,120.024,3
Amen (Album Version),Jimmy Durante,10,0,0.0,233.37751,0.0,10,-14.751,0.0,124.656,4
America The Beautiful,US Coast Guard Band,10,0,0.0,200.41098,0.0,8,-18.636,0.0,67.126,3
America's Suitehearts,Fall Out Boy,7,2008,0.0,214.33424,0.0,2,-4.469,0.7876204040717483,160.109,4
American Dream,Vixen,10,1988,0.0,259.60444,0.0,11,-14.109,0.6731223076233742,124.67,4
American Dreams,Charlie Haden,10,2002,0.0,292.17914,0.0,7,-24.22,0.26586104921065007,141.229,4
American Girl,Brooke Valentine,10,2005,0.0,218.64444,0.0,9,-5.806,0.6680333475530599,130.495,4
American Lovebite,Dons,10,2006,0.0,200.51546,0.0,0,-6.568,0.0,132.197,4
Amidar (CCCP Mix),Rui Da Silva,10,0,0.0,444.9171,0.0,11,-5.999,0.26586104921065007,65.005,4
Amie,Lonestar,10,1997,0.0,245.7073,0.0,9,-7.786,0.30416950343527516,92.025,3
Amigo mío,Memphis La Blusera,10,2001,0.0,221.64853,0.0,7,-6.246,0.21204540548371908,132.023,4
Ammonite,Zeromancer,10,2009,0.0,362.31791,0.0,2,-6.762,0.6756968072898051,90.027,4
Ammunition,The Jane Shermans,10,2008,0.0,235.49342,0.0,2,-6.299,0.20221697433354605,140.143,4
Amo Dejarte Asi,Gustavo Cerati,10,0,0.0,237.68771,0.0,6,-10.906,0.5689645826079971,94.009,4
Amor Bonito,Pablo Montero,10,0,0.0,169.82159,0.0,10,-8.985,0.23621627901094303,97.874,4
Amor De Juventud,Pedro Aznar,10,1995,0.0,368.3522,0.0,7,-16.223,0.42512465831305757,127.279,4
Amor De Lejos,Lara & Reyes,10,0,0.0,319.84281,0.0,0,-7.82,0.6107154163197548,109.509,4
Amor Siciliano,Juan Carlos Baglietto,10,0,0.0,225.33179,0.0,0,-11.06,0.24906579485370342,86.794,4
Amor a Medias,HA-ASH,10,2005,0.0,253.90975,0.0,9,-5.548,0.5763999812554107,136.945,4
Amor que terminó,Los Solitarios,10,0,0.0,179.56526,0.0,4,-11.163,0.0,129.493,1
Amores Cobardes,Andy & Lucas,10,2008,0.0,234.63138,0.0,9,-5.343,0.26586104921065007,147.886,4
